,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
87,georgetown,5.41,100.34,84.2,74,20,3.36,MY,1598722345
88,chuy,-33.7,-53.46,63.37,90,97,7.27,UY,1598722362
89,campina grande,-7.23,-35.88,84.2,48,40,17.22,BR,1598722574
90,canton,23.12,113.25,88.0,70,27,2.24,CN,1598722564
91,itarema,-2.92,-39.92,85.69,56,7,23.13,BR,1598722411
92,potchefstroom,-26.72,27.1,57.42,32,35,5.46,ZA,1598722572
93,katsuura,35.13,140.3,82.4,88,75,9.17,JP,1598722365
94,banyuwangi,-8.23,114.36,72.82,80,74,2.8,ID,1598722575
95,upernavik,72.79,-56.15,41.9,66,0,6.67,GL,1598722354
96,bandarbeyla,9.49,50.81,77.16,78,5,30.62,SO,1598722576
97,northview,43.05,-85.6,75.99,53,75,19.46,US,1598722576
98,kaitangata,-46.28,169.85,53.01,70,94,11.01,NZ,1598722355
99,shache,38.42,77.24,70.54,29,56,6.22,CN,1598722576
100,san patricio,19.22,-104.7,86.0,79,40,6.93,MX,1598722421
101,pasni,25.26,63.47,81.52,85,19,14.7,PK,1598722576
102,bambous virieux,-20.34,57.76,71.6,73,75,14.99,MU,1598722381
103,vallenar,-28.57,-70.76,74.39,18,23,6.96,CL,1598722303
104,cherskiy,68.75,161.3,37.09,95,94,4.45,RU,1598722358
105,petatlan,17.52,-101.27,84.2,66,90,6.15,MX,1598722577
106,hamilton,39.18,-84.53,86.0,65,75,6.93,US,1598722268
107,tuktoyaktuk,69.45,-133.04,42.8,87,75,10.29,CA,1598722381
108,mitchell,43.71,-98.03,73.4,40,1,3.31,US,1598722333
109,tuatapere,-46.13,167.68,49.21,82,96,10.07,NZ,1598722342
110,tottori,35.5,134.23,78.55,80,0,4.7,JP,1598722578
111,tiksi,71.69,128.87,41.38,85,0,7.11,RU,1598722361
112,vao,-22.67,167.48,66.27,71,47,20.85,NC,1598722530
113,lebu,-37.62,-73.65,48.92,60,1,15.41,CL,1598722378
114,airai,-8.93,125.41,54.54,50,53,3.56,TL,1598722340
115,vestmannaeyjar,63.44,-20.27,53.6,76,40,8.05,IS,1598722452
116,smithers,54.78,-127.17,48.2,81,75,2.24,CA,1598722578
117,marawi,8.0,124.29,75.99,89,100,5.99,PH,1598722535
118,hermanus,-34.42,19.23,42.01,86,64,1.01,ZA,1598722348
119,mahebourg,-20.41,57.7,71.6,73,75,14.99,MU,1598722413
120,trzebiatow,54.06,15.26,70.0,57,35,5.48,PL,1598722579
121,dunedin,-45.87,170.5,55.99,55,43,13.0,NZ,1598722350
122,hami,42.8,93.45,69.51,26,6,1.39,CN,1598722579
123,muli,2.92,73.57,83.57,69,94,8.72,MV,1598722580
124,polyarnyy,69.2,33.45,50.0,76,60,4.47,RU,1598722580
125,saint george,37.1,-113.58,88.0,22,1,12.75,US,1598722270
126,eston,51.15,-108.75,79.0,31,20,10.29,CA,1598722580
127,jiayuguan,39.82,98.3,55.06,55,24,3.49,CN,1598722580
128,cape town,-33.93,18.42,50.0,57,40,14.99,ZA,1598722252
129,carnarvon,-24.87,113.63,62.6,72,0,13.87,AU,1598722351
130,novyy urengoy,66.08,76.63,49.39,84,63,11.01,RU,1598722581
131,vila velha,-20.33,-40.29,80.01,69,40,13.87,BR,1598722416
132,okhotsk,59.38,143.3,48.25,64,10,3.42,RU,1598722392
133,derby,52.92,-1.48,54.0,87,75,13.87,GB,1598722581
134,cayenne,4.93,-52.33,87.8,62,75,3.36,GF,1598722353
135,takoradi,4.88,-1.76,76.1,82,30,12.88,GH,1598722412
136,longyearbyen,78.22,15.64,42.8,86,75,19.46,SJ,1598722369
137,ewo,-0.87,14.82,78.53,75,52,4.5,CG,1598722582
138,aykhal,66.0,111.5,51.8,50,75,4.47,RU,1598722582
139,beibei,29.83,106.43,91.0,43,13,6.71,CN,1598722582
140,grindavik,63.84,-22.43,53.6,87,90,13.87,IS,1598722367
141,aksu,41.12,80.26,71.42,33,0,4.59,CN,1598722442
142,anadyr,64.75,177.48,42.8,81,75,15.66,RU,1598722368
143,puerto del rosario,28.5,-13.86,78.8,65,40,21.92,ES,1598722583
144,severo-kurilsk,50.68,156.12,49.08,92,100,12.12,RU,1598722320
145,pekan,3.48,103.4,77.0,88,20,3.58,MY,1598722583
146,buluang,13.31,123.34,78.06,72,100,3.89,PH,1598722583
147,avera,33.19,-82.53,86.0,74,75,11.41,US,1598722583
148,cabedelo,-6.98,-34.83,82.4,65,75,13.87,BR,1598722584
149,nioro,13.35,-15.75,77.36,91,93,7.47,GM,1598722584
150,meulaboh,4.14,96.13,77.95,85,96,3.44,ID,1598722584
151,koundara,12.48,-13.3,76.08,93,97,5.99,GN,1598722584
152,arman,59.7,150.17,42.42,70,1,9.64,RU,1598722406
153,yulara,-25.24,130.99,53.6,27,0,3.36,AU,1598722387
154,provideniya,64.38,-173.3,48.45,81,66,11.7,RU,1598722377
155,mogzon,51.74,111.96,48.81,94,100,5.5,RU,1598722585
156,pisco,-13.7,-76.22,63.0,82,90,6.93,PE,1598722391
157,wajima,37.4,136.9,80.98,83,0,5.17,JP,1598722438
158,tasiilaq,65.61,-37.64,42.8,70,75,18.34,GL,1598722342
159,coquimbo,-29.95,-71.34,60.8,48,42,12.75,CL,1598722408
160,hit,33.64,42.83,95.09,10,0,11.1,IQ,1598722586
161,yar-sale,66.83,70.83,42.44,78,0,10.54,RU,1598722586
162,labuhan,-6.88,112.21,77.5,77,65,7.27,ID,1598722325
163,barrow,71.29,-156.79,37.4,86,90,18.34,US,1598722276
164,west wendover,40.74,-114.07,82.4,20,1,10.29,US,1598722586
165,komsomolskiy,40.43,71.72,77.0,47,41,6.93,UZ,1598722566
166,pangody,65.85,74.49,46.0,90,29,8.88,RU,1598722587
167,kushima,31.46,131.23,80.01,83,4,1.99,JP,1598722587
168,bambanglipuro,-7.95,110.28,74.86,77,6,12.57,ID,1598722450
169,norman wells,65.28,-126.83,44.6,70,40,9.17,CA,1598722287
170,dingle,11.0,122.67,75.25,87,100,1.9,PH,1598722385
171,cedar city,37.68,-113.06,75.2,25,1,21.92,US,1598722379
172,ouesso,1.61,16.05,73.06,93,100,1.43,CG,1598722587
173,raudeberg,61.99,5.14,53.01,78,6,19.62,NO,1598722444
174,medea,36.26,2.75,86.0,40,40,12.75,DZ,1598722588
175,forssa,60.81,23.62,57.0,72,88,1.01,FI,1598722588
176,itoman,26.12,127.67,82.4,88,20,8.05,JP,1598722588
177,husavik,66.04,-17.34,51.8,76,75,4.7,IS,1598722330
178,banyo,6.75,11.82,67.06,90,32,1.32,CM,1598722589
179,copiapo,-27.37,-70.33,62.6,51,0,8.05,CL,1598722589
180,inhambane,-23.86,35.38,77.0,88,40,20.8,MZ,1598722589
181,camana,-16.62,-72.71,62.24,77,96,11.54,PE,1598722589
182,jawhar,2.78,45.5,78.01,73,38,13.24,SO,1598722589
183,nauta,-4.51,-73.58,94.3,40,76,3.65,PE,1598722590
184,bow island,49.87,-111.37,78.8,22,40,21.92,CA,1598722296
185,kargil,34.57,76.1,57.63,47,38,8.03,IN,1598722590
186,havre-saint-pierre,50.23,-63.6,59.0,58,1,17.22,CA,1598722590
187,talaya,61.38,152.75,38.8,91,100,6.2,RU,1598722591
188,gornoye loo,43.71,39.6,75.2,83,20,6.71,RU,1598722591
189,skelleftea,64.75,20.95,59.0,62,27,4.7,SE,1598722591
190,la ronge,55.1,-105.28,66.2,63,75,14.99,CA,1598722361
191,kapaa,22.08,-159.32,73.4,88,90,8.05,US,1598722377
192,kahului,20.89,-156.47,78.8,65,40,9.17,US,1598722380
193,comodoro rivadavia,-45.87,-67.5,48.2,36,20,18.34,AR,1598722356
194,siguiri,11.67,-9.5,74.61,92,100,3.76,GN,1598722592
195,kidal,18.44,1.41,83.21,60,52,8.68,ML,1598722592
196,venice,27.1,-82.45,91.0,66,1,8.05,US,1598722592
197,qui nhon,13.77,109.23,79.7,82,77,5.66,VN,1598722593
