,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
385,abu kamal,34.45,40.92,90.36,12,0,6.78,SY,1598722407
386,kpandae,8.47,-0.01,78.31,78,100,6.6,GH,1598722345
387,trat,12.5,102.5,76.69,89,63,2.33,TH,1598722626
388,arrifes,37.77,-25.7,77.0,88,40,14.99,PT,1598722627
389,lovozero,68.0,35.01,48.58,60,51,7.63,RU,1598722425
390,mendi,-6.18,143.65,50.45,97,94,3.89,PG,1598722627
391,cairns,-16.92,145.77,69.01,94,75,12.75,AU,1598722613
392,charters towers,-20.1,146.27,59.7,79,30,15.35,AU,1598722627
393,sabha,27.04,14.43,94.68,15,0,9.71,LY,1598722450
394,korzhevskiy,45.19,37.72,75.0,53,20,6.71,RU,1598722627
395,namibe,-15.2,12.15,62.6,69,0,7.87,AO,1598722628
396,zharkent,44.16,80.0,67.12,42,0,3.78,KZ,1598722628
397,leningradskiy,69.38,178.42,36.3,92,100,8.28,RU,1598722407
398,acapulco,16.86,-99.89,80.6,83,75,6.93,MX,1598722269
399,waipawa,-41.41,175.52,55.4,76,5,17.22,NZ,1598722628
400,labis,2.38,103.02,75.15,87,79,2.13,MY,1598722628
401,rivne,50.62,26.23,75.0,71,29,9.17,UA,1598722629
402,snasa,64.25,12.38,53.62,68,85,3.31,NO,1598722629
403,port keats,-14.25,129.55,68.29,40,31,8.88,AU,1598722629
404,petropavlovsk-kamchatskiy,53.05,158.65,41.0,100,40,4.47,RU,1598722629
405,moche,-8.17,-79.01,64.85,75,41,9.84,PE,1598722630
406,siuna,13.73,-84.78,89.73,56,44,5.55,NI,1598722630
407,mount gambier,-37.83,140.77,60.8,32,74,18.34,AU,1598722391
408,tazovskiy,67.47,78.7,46.78,90,97,13.51,RU,1598722359
409,rapar,23.57,70.63,83.32,81,100,12.71,IN,1598722626
410,khani,41.96,42.96,71.6,88,2,3.36,GE,1598722630
411,alice springs,-23.7,133.88,50.0,23,12,4.43,AU,1598722406
412,iskateley,67.68,53.15,44.69,75,63,9.35,RU,1598722631
413,ano mera,37.45,25.4,82.4,45,0,12.75,GR,1598722631
414,bilma,18.69,12.92,94.48,31,56,12.24,NE,1598722631
415,andenes,69.31,16.12,48.2,87,100,4.7,NO,1598722632
416,bathsheba,13.22,-59.52,84.2,79,75,24.16,BB,1598722443
417,grand-santi,4.25,-54.38,90.77,52,81,3.71,GF,1598722390
418,sistranda,63.73,8.83,53.6,71,75,10.29,NO,1598722423
419,amapa,1.0,-52.0,90.07,51,19,6.35,BR,1598722394
420,port antonio,18.18,-76.46,89.6,70,20,11.41,JM,1598722632
421,hackettstown,40.85,-74.83,75.99,88,100,5.82,US,1598722633
422,tual,-5.67,132.75,78.78,84,64,19.55,ID,1598722298
423,margate,51.38,1.39,55.99,91,77,5.01,GB,1598722351
424,mazzarino,37.3,14.21,79.0,71,0,4.0,IT,1598722633
425,japura,-0.32,102.35,73.92,94,75,2.57,ID,1598722633
426,makakilo city,21.35,-158.09,78.8,73,1,4.7,US,1598722371
427,mount isa,-20.73,139.5,62.6,46,0,13.8,AU,1598722417
428,kloulklubed,7.04,134.26,77.0,88,75,8.32,PW,1598722634
429,samaro,25.28,69.4,85.86,75,99,13.33,PK,1598722634
430,rincon,32.3,-81.24,93.0,62,75,12.75,US,1598722437
431,awjilah,29.11,21.29,90.25,22,0,8.84,LY,1598722634
432,bom jardim,-7.8,-35.59,84.2,48,40,17.22,BR,1598722634
433,pittsburg,38.03,-121.88,73.0,64,0,1.99,US,1598722445
434,mayumba,-3.43,10.66,73.92,89,100,11.68,GA,1598722635
435,araouane,18.9,-3.53,91.81,44,90,13.85,ML,1598722635
436,sovetskiy,61.36,63.58,58.55,78,99,8.81,RU,1598722635
437,lyuban,52.8,28.0,65.68,76,4,9.75,BY,1598722635
438,north platte,41.12,-100.77,75.2,47,1,6.93,US,1598722394
439,greenville,35.61,-77.37,87.8,62,40,13.87,US,1598722407
440,ilo,-17.64,-71.34,64.4,77,90,6.93,PE,1598722636
441,kyaikkami,16.08,97.57,80.71,86,100,7.92,MM,1598722399
442,umarkot,25.36,69.74,89.28,66,91,15.17,PK,1598722636
443,brandfort,-28.7,26.46,48.2,36,0,8.05,ZA,1598722637
444,colesberg,-30.72,25.1,39.67,68,28,14.45,ZA,1598722638
445,eureka,40.8,-124.16,57.99,100,90,3.36,US,1598722451
446,hualmay,-11.1,-77.61,66.78,68,64,10.85,PE,1598722385
447,brae,60.4,-1.35,51.8,71,63,12.75,GB,1598722404
448,isangel,-19.55,169.27,72.41,85,99,20.31,VU,1598722403
449,san quintin,30.48,-115.95,75.81,64,0,10.74,MX,1598722447
450,carutapera,-1.2,-46.02,86.18,61,67,12.66,BR,1598722639
451,iqaluit,63.75,-68.51,55.4,62,75,20.8,CA,1598722365
452,maniitsoq,65.42,-52.9,48.02,85,98,6.64,GL,1598722639
453,san roque,36.21,-5.38,73.4,60,4,23.04,ES,1598722640
454,necochea,-38.55,-58.74,48.99,58,64,11.01,AR,1598722336
455,urusha,54.05,122.9,43.27,89,53,3.51,RU,1598722640
456,north bend,43.41,-124.22,64.99,77,1,17.22,US,1598722640
457,medianeira,-25.3,-54.09,91.4,27,0,17.22,BR,1598722640
458,goderich,43.75,-81.72,68.0,84,97,25.61,CA,1598722641
459,xinqing,48.23,129.5,54.23,96,100,5.55,CN,1598722641
460,salcininkai,54.3,25.38,64.4,88,100,10.29,LT,1598722641
461,roebourne,-20.78,117.13,75.04,46,0,3.83,AU,1598722397
462,kamloops,50.67,-120.32,64.4,36,75,14.99,CA,1598722587
463,san policarpo,12.18,125.51,79.52,79,100,9.24,PH,1598722354
464,amga,60.9,131.96,49.15,51,96,3.8,RU,1598722641
465,havoysund,71.0,24.66,48.2,76,68,10.29,NO,1598722451
466,broome,42.25,-75.83,78.01,78,75,10.29,US,1598722353
467,oktyabrskoye,43.06,44.74,69.01,82,51,6.71,RU,1598722449
468,tura,25.52,90.22,74.82,95,73,4.41,IN,1598722642
469,lluta,-16.01,-72.01,66.2,32,1,10.29,PE,1598722642
470,treinta y tres,-33.23,-54.38,65.52,88,96,11.52,UY,1598722642
471,padre paraiso,-17.07,-41.48,79.3,41,12,7.85,BR,1598722643
472,paracin,43.86,21.41,86.0,51,20,6.93,RS,1598722643
473,reinosa,43.0,-4.14,66.2,59,75,12.75,ES,1598722643
474,lastoursville,-0.81,12.73,75.27,88,75,2.37,GA,1598722643
475,shitanjing,39.23,106.34,56.32,77,100,12.64,CN,1598722643
476,chicama,-7.84,-79.15,73.31,53,31,10.8,PE,1598722644
477,rio grande,-32.03,-52.1,66.2,88,75,11.41,BR,1598722448
478,ibotirama,-12.19,-43.22,97.81,16,13,3.58,BR,1598722644
479,dzerzhinsk,56.24,43.46,61.0,82,40,6.71,RU,1598722644
480,mtwara,-10.27,40.18,75.2,83,40,9.17,TZ,1598722594
481,tateyama,34.98,139.87,84.0,87,7,5.77,JP,1598722645
482,belmonte,-15.86,-38.88,78.8,65,1,9.17,BR,1598722592
483,kenai,60.55,-151.26,50.0,87,1,3.36,US,1598722645
484,poplar bluff,36.76,-90.39,89.6,55,1,10.29,US,1598722565
485,kihei,20.79,-156.47,78.8,65,40,9.17,US,1598722456
486,mareeba,-17.0,145.43,69.01,94,75,12.75,AU,1598722645
487,primorsk,46.73,36.34,71.98,61,0,2.08,UA,1598722646
488,atikokan,48.76,-91.62,63.39,54,90,10.11,CA,1598722646
489,ossora,59.24,163.07,45.21,78,43,8.52,RU,1598722554
490,bossangoa,6.49,17.46,71.85,92,100,2.77,CF,1598722646
491,moyale,3.52,39.06,73.0,55,9,6.2,KE,1598722647
492,pacific grove,36.62,-121.92,62.6,72,90,3.36,US,1598722370
493,khasan,42.43,130.64,66.81,92,100,9.78,RU,1598722647
494,opuwo,-18.06,13.84,60.37,28,0,8.03,NA,1598722399
495,constitucion,-35.33,-72.42,55.62,66,17,12.66,CL,1598722383
496,mapimi,25.82,-103.85,91.0,35,20,2.42,MX,1598722647
497,saldanha,-33.01,17.94,46.4,70,14,5.82,ZA,1598722348
498,tingo maria,-9.29,-76.01,84.2,58,20,4.7,PE,1598722648
499,ormara,25.21,64.64,81.46,87,65,17.02,PK,1598722648
500,san vicente de canete,-13.08,-76.38,66.63,67,61,7.96,PE,1598722648
501,san cristobal,7.77,-72.22,89.6,52,40,11.41,VE,1598722429
502,caravelas,-17.71,-39.25,78.93,64,5,7.4,BR,1598722413
503,borovoy,55.43,86.08,62.6,67,40,6.71,RU,1598722649
504,misratah,32.38,15.09,82.63,66,0,19.3,LY,1598722376
505,didi lilo,41.74,44.96,80.6,51,75,5.82,GE,1598722649
506,san luis,-33.3,-66.34,58.03,36,45,18.99,AR,1598722649
507,jizan,17.33,42.67,86.0,62,20,9.17,SA,1598722649
508,bhadrachalam,17.67,80.88,78.26,88,82,1.61,IN,1598722650
509,nata,8.33,-80.52,84.99,61,55,2.53,PA,1598722650
510,alta floresta,-9.88,-56.09,98.6,37,40,3.36,BR,1598722650
511,acajutla,13.59,-89.83,84.2,70,20,3.36,SV,1598722650
512,minsk,53.9,27.57,66.2,77,40,6.71,BY,1598722600
513,la maddalena,41.21,9.41,87.8,55,0,12.75,IT,1598722651
514,panzhihua,26.59,101.71,74.57,69,100,0.45,CN,1598722651
515,ulagan,50.63,87.96,41.45,79,4,0.29,RU,1598722651
516,ghanzi,-21.57,21.78,66.9,24,59,13.87,BW,1598722651
517,sioux lookout,50.1,-91.92,57.2,67,75,10.29,CA,1598722356
518,hovd,48.01,91.64,52.92,63,97,6.29,MN,1598722437
519,zhezkazgan,47.8,67.71,70.23,32,0,11.95,KZ,1598722652
520,agadir,30.42,-9.6,84.2,45,0,12.75,MA,1598722445
521,taoudenni,22.68,-3.98,105.44,22,26,21.9,ML,1598722431
522,bang saphan,11.21,99.51,76.64,87,1,5.7,TH,1598722652
523,dumas,35.87,-101.97,77.0,64,1,6.93,US,1598722652
524,linjiang,41.81,126.91,64.49,88,2,0.78,CN,1598722653
525,honiara,-9.43,159.95,77.0,94,75,2.24,SB,1598722354
526,amasia,40.65,35.83,75.2,53,0,14.99,TR,1598722653
527,egvekinot,66.32,-179.17,36.99,80,33,13.73,RU,1598722653
528,jalu,29.03,21.55,90.72,22,0,8.72,LY,1598722365
529,voyinka,45.87,33.99,72.0,51,0,9.01,UA,1598722653
530,lubbock,33.6,-101.83,90.0,43,20,11.41,US,1598722654
531,paita,-5.09,-81.11,75.2,60,48,16.11,PE,1598722654
532,stornoway,58.21,-6.39,55.99,50,62,4.7,GB,1598722654
533,tooele,40.53,-112.3,84.0,32,1,10.29,US,1598722654
534,huarmey,-10.07,-78.15,67.37,67,60,12.01,PE,1598722655
535,gorontalo,0.54,123.06,75.4,82,98,2.68,ID,1598722655
536,tanhacu,-14.02,-41.25,88.2,29,6,10.85,BR,1598722655
537,russell,32.35,-85.2,87.8,66,75,8.05,US,1598722655
538,luocheng,29.38,104.03,75.02,94,99,3.15,CN,1598722655
539,sao joao da barra,-21.64,-41.05,82.4,58,0,20.8,BR,1598722368
540,zhangye,38.93,100.45,56.64,70,100,4.12,CN,1598722656
541,sabla,12.75,4.71,80.4,74,76,9.37,NG,1598722656
542,duiwelskloof,-23.69,30.14,79.93,20,67,4.23,ZA,1598722656
543,mitu,1.2,-70.17,76.77,95,96,2.91,CO,1598722656
544,manapparai,10.6,78.42,86.0,74,40,5.82,IN,1598722657
